init_date,end_date,bytes
2002-08-14 16:00:00.000058,2002-08-14 16:05:00.000056,12835745151
2002-08-14 16:05:00.000058,2002-08-14 16:10:00.000055,12947352967
2002-08-14 16:10:00.000071,2002-08-14 16:15:00.000044,13125582870
2002-08-14 16:15:00.000058,2002-08-14 16:20:00.000054,13198132262
2002-08-14 16:20:00.000065,2002-08-14 16:25:00.000049,13062167106
2002-08-14 16:25:00.000066,2002-08-14 16:30:00.000053,12849761142
2002-08-14 16:30:00.000074,2002-08-14 16:35:00.000057,13331654881
2002-08-14 16:35:00.000058,2002-08-14 16:40:00.000038,13277888818
2002-08-14 16:40:00.000085,2002-08-14 16:45:00.000028,13057064557
2002-08-14 16:45:00.000063,2002-08-14 16:50:00.000051,13220563818
2002-08-14 16:50:00.000067,2002-08-14 16:55:00.000057,13258796067
2002-08-14 16:55:00.000059,2002-08-14 16:59:59.999951,13008369332
2002-08-14 17:00:00.000011,2002-08-14 17:04:59.999983,12997554129
2002-08-14 17:05:00.000032,2002-08-14 17:10:00.000002,13140415922
2002-08-14 17:10:00.000023,2002-08-14 17:15:00.000009,13500409378
2002-08-14 17:15:00.000012,2002-08-14 17:20:00.000009,13712070631
2002-08-14 17:20:00.000014,2002-08-14 17:24:59.999985,13811036981
2002-08-14 17:25:00.000012,2002-08-14 17:29:59.999976,13992428199
2002-08-14 17:30:00.000027,2002-08-14 17:35:00.000005,14132916977
2002-08-14 17:35:00.000016,2002-08-14 17:40:00.000007,13800197457
2002-08-14 17:40:00.000012,2002-08-14 17:45:00.000003,13688605677
2002-08-14 17:45:00.000035,2002-08-14 17:50:00.000009,12340997050
2002-08-14 17:50:00.000050,2002-08-14 17:55:00.000007,14241663886
2002-08-14 17:55:00.000024,2002-08-14 17:59:59.999972,15057387758
2002-08-14 18:00:00.000011,2002-08-14 18:05:00.000001,14739290620
2002-08-14 18:05:00.000012,2002-08-14 18:10:00.000004,14944206855
2002-08-14 18:10:00.000013,2002-08-14 18:15:00.000006,14703199252
2002-08-14 18:15:00.000026,2002-08-14 18:19:59.999991,13844887697
2002-08-14 18:20:00.000013,2002-08-14 18:25:00.000005,14000192709
2002-08-14 18:25:00.000024,2002-08-14 18:30:00.000000,13767487607
2002-08-14 18:30:00.000016,2002-08-14 18:34:59.999993,13861938805
2002-08-14 18:35:00.000040,2002-08-14 18:40:00.000008,13848286868
2002-08-14 18:40:00.000012,2002-08-14 18:44:59.999994,13568214075
2002-08-14 18:45:00.000078,2002-08-14 18:50:00.000005,13524548401
2002-08-14 18:50:00.000013,2002-08-14 18:55:00.000000,13963621700
2002-08-14 18:55:00.000016,2002-08-14 18:59:59.999995,13886020909
2002-08-14 16:00:00.000016,2002-08-14 16:04:59.999981,23532177800
2002-08-14 16:05:00.000018,2002-08-14 16:10:00.000009,22546275374
2002-08-14 16:10:00.000019,2002-08-14 16:14:59.999989,18533175391
2002-08-14 16:15:00.000024,2002-08-14 16:19:59.999982,22080557561
2002-08-14 16:20:00.000020,2002-08-14 16:25:00.000008,23196032160
2002-08-14 16:25:00.000016,2002-08-14 16:30:00.000012,22579126776
2002-08-14 16:30:00.000050,2002-08-14 16:35:00.000005,22957941655
2002-08-14 16:35:00.000019,2002-08-14 16:39:59.999998,23200130711
2002-08-14 16:40:00.000024,2002-08-14 16:44:59.999984,23815256142
2002-08-14 16:45:00.000016,2002-08-14 16:50:00.000010,23582300173
2002-08-14 16:50:00.000021,2002-08-14 16:55:00.000010,23744775905
2002-08-14 16:55:00.000033,2002-08-14 16:59:59.999994,23972545567
2002-08-14 18:00:00.000010,2002-08-14 18:05:00.000006,23554110568
2002-08-14 18:05:00.000014,2002-08-14 18:10:00.000000,23352894494
2002-08-14 18:10:00.000020,2002-08-14 18:15:00.000009,22391585877
2002-08-14 18:15:00.000021,2002-08-14 18:19:59.999998,22663886985
2002-08-14 18:20:00.000038,2002-08-14 18:25:00.000005,20270629578
2002-08-14 18:25:00.000023,2002-08-14 18:30:00.000004,21532544637
2002-08-14 18:30:00.000018,2002-08-14 18:35:00.000009,22122799679
2002-08-14 18:35:00.000014,2002-08-14 18:39:59.999977,21980382279
2002-08-14 18:40:00.000022,2002-08-14 18:44:59.999996,22551122368
2002-08-14 18:45:00.000018,2002-08-14 18:49:59.999990,22527497307
2002-08-14 18:50:00.000021,2002-08-14 18:55:00.000000,22319921914
2002-08-14 18:55:00.000010,2002-08-14 18:59:59.999972,22337050474
